product_id,gudang,stok_tersedia,last_update
P006,Gudang Jakarta,0,2024-05-06
P008,Gudang Medan,10,2024-06-02
P009,Gudang Makassar,60,2024-06-03
P010,Gudang Medan,25,2024-06-05
P005,Gudang Medan,0,2024-06-07
P004,Gudang Bandung,0,2024-06-09
P005,Gudang Surabaya,15,2024-06-10
P002,Gudang Medan,10,2024-06-11
P004,Gudang Jakarta,25,2024-06-13
P007,Gudang Jakarta,100,2024-06-14
P001,Gudang Bandung,40,2024-06-15
P007,Gudang Bandung,80,2024-06-17
P005,Gudang Bandung,10,2024-06-21
P008,Gudang Bandung,100,2024-06-22
P002,Gudang Bandung,80,2024-06-26
P006,Gudang Medan,60,2024-06-29
P006,Gudang Makassar,10,2024-06-29
P004,Gudang Makassar,0,2024-06-29
P001,Gudang Medan,80,2024-07-01
P008,Gudang Jakarta,10,2024-07-02
P004,Gudang Medan,0,2024-07-03
P006,Gudang Bandung,0,2024-07-03
P003,Gudang Medan,80,2024-07-06
P005,Gudang Makassar,60,2024-07-06
P004,Gudang Surabaya,60,2024-07-08
P003,Gudang Jakarta,0,2024-07-10
P001,Gudang Makassar,0,2024-07-12
P010,Gudang Surabaya,25,2024-07-14
P006,Gudang Surabaya,0,2024-07-15
P010,Gudang Bandung,0,2024-07-15
P007,Gudang Surabaya,10,2024-07-16
P002,Gudang Jakarta,10,2024-07-16
P008,Gudang Makassar,0,2024-07-16
P009,Gudang Jakarta,60,2024-08-06
P010,Gudang Makassar,60,2024-09-07
P003,Gudang Makassar,0,2024-12-07
