payment_id,order_id,metode_pembayaran,status_pembayaran,jumlah_bayar,biaya_admin,tanggal_bayar
PAY-5053,ORD-10065,E-Wallet,Paid,290000,2500.0,2024-02-06 00:00:00
PAY-5040,ORD-10113,Virtual Account,Pending,116000,0.0,2024-03-06 00:00:00
PAY-5055,ORD-10076,Credit Card,Refunded,84000,0.0,2024-03-06 00:00:00
PAY-5036,ORD-10124,Virtual Account,Paid,745000,5000.0,2024-04-07 00:00:00
PAY-5026,ORD-10014,Bank Transfer,Paid,25000,0.0,2024-04-07 00:00:00
PAY-5027,ORD-10088,E-Wallet,Paid,65000,0.0,2024-05-01 00:00:00
PAY-5008,ORD-10004,Virtual Account,Paid,298000,2500.0,2024-05-02 14:55:00
PAY-5015,ORD-10041,COD,Failed,149000,0.0,2024-05-07 01:15:00
PAY-5038,ORD-10100,COD,Pending,130000,0.0,2024-05-08 00:00:00
PAY-5042,ORD-10034,COD,Paid,195000,6500.0,2024-05-11 00:00:00
PAY-5025,ORD-10081,COD,Paid,58000,6500.0,2024-05-13 00:00:00
PAY-5021,ORD-10083,COD,Pending,745000,0.0,2024-05-14 00:00:00
PAY-5044,ORD-10016,Credit Card,Failed,58000,5000.0,2024-05-14 00:00:00
PAY-5013,ORD-10037,Bank Transfer,Pending,149000,0.0,2024-05-14 00:00:00
PAY-5003,ORD-10043,COD,Paid,232000,0.0,2024-05-17 00:00:00
PAY-5019,ORD-10024,Bank Transfer,Paid,298000,2500.0,2024-05-21 00:00:00
PAY-5045,ORD-10045,COD,Paid,116000,0.0,2024-05-21 00:00:00
PAY-5028,ORD-10079,Credit Card,Pending,38000,6500.0,2024-05-22 00:00:00
PAY-5020,ORD-10087,Bank Transfer,Pending,126000,0.0,2024-05-23 00:00:00
PAY-5017,ORD-10007,COD,Paid,25000,0.0,2024-05-23 11:45:00
PAY-5007,ORD-10117,E-Wallet,Failed,90000,0.0,2024-05-24 06:45:00
PAY-5057,ORD-10049,Virtual Account,Pending,90000,0.0,2024-05-25 00:00:00
PAY-5035,ORD-10099,Credit Card,Paid,195000,0.0,2024-05-26 00:00:00
PAY-5041,ORD-10032,E-Wallet,Refunded,136000,0.0,2024-05-27 00:00:00
PAY-5016,ORD-10038,Bank Transfer,Refunded,298000,0.0,2024-05-31 12:20:00
PAY-5018,ORD-10046,QRIS,Paid,25000,6500.0,2024-06-01 15:24:00
PAY-5009,ORD-10075,Credit Card,Failed,100000,5000.0,2024-06-02 00:00:00
PAY-5004,ORD-10103,Bank Transfer,Paid,298000,0.0,2024-06-02 04:08:00
PAY-5010,ORD-10021,Virtual Account,Paid,25000,0.0,2024-06-07 18:06:00
PAY-5029,ORD-10002,QRIS,Pending,45000,2500.0,2024-06-09 00:00:00
PAY-5039,ORD-10111,Virtual Account,Pending,58000,2500.0,2024-06-09 06:29:00
PAY-5048,ORD-10126,Credit Card,Paid,149000,0.0,2024-06-13 09:47:00
PAY-5060,ORD-10129,E-Wallet,Refunded,149000,5000.0,2024-06-14 14:40:00
PAY-5033,ORD-10107,Credit Card,Refunded,126000,5000.0,2024-06-16 00:00:00
PAY-5037,ORD-10006,Virtual Account,Pending,34000,0.0,2024-06-17 15:10:00
PAY-5049,ORD-10019,credit_card,Refunded,38000,0.0,2024-06-20 00:00:00
PAY-5024,ORD-10053,Bank Transfer,Paid,34000,0.0,2024-06-20 12:27:00
PAY-5005,ORD-10072,credit_card,Paid,149000,0.0,2024-06-27 00:00:00
PAY-5050,ORD-10033,Credit Card,Pending,126000,0.0,2024-06-28 00:00:00
PAY-5052,ORD-10084,Credit Card,Pending,745000,0.0,2024-06-29 00:00:00
PAY-5047,ORD-10030,Bank Transfer,Paid,42000,0.0,2024-07-01 00:00:00
PAY-5002,ORD-10123,E-Wallet,Pending,136000,0.0,2024-07-02 09:08:00
PAY-5056,ORD-10025,Virtual Account,Paid,232000,5000.0,2024-07-03 06:02:00
PAY-5031,ORD-10127,QRIS,Paid,50000,0.0,2024-07-03 15:43:00
PAY-5011,ORD-10047,COD,Paid,68000,6500.0,2024-07-06 00:00:00
PAY-5006,ORD-10110,Credit Card,Pending,596000,0.0,2024-07-08 00:00:00
PAY-5059,ORD-10015,Virtual Account,Paid,65000,0.0,2024-07-08 00:00:00
PAY-5043,ORD-10119,E-Wallet,Paid,65000,6500.0,2024-07-13 00:00:00
PAY-5022,ORD-10102,Virtual Account,Failed,38000,0.0,2024-07-14 00:00:00
PAY-5030,ORD-10028,E-Wallet,Failed,64000,0.0,2024-07-14 00:42:00
PAY-5054,ORD-10040,E-Wallet,Refunded,100000,5000.0,2024-07-16 00:00:00
PAY-5058,ORD-10042,Bank Transfer,Paid,195000,0.0,2024-07-17 00:00:00
PAY-5012,ORD-10039,Bank Transfer,Refunded,596000,0.0,2024-07-18 00:00:00
PAY-5046,ORD-10092,Virtual Account,Failed,42000,5000.0,2024-07-23 00:00:00
PAY-5001,ORD-10074,Virtual Account,Refunded,76000,0.0,2024-07-23 00:13:00
PAY-5051,ORD-10106,COD,Paid,130000,0.0,2024-07-26 00:00:00
PAY-5023,ORD-10063,Bank Transfer,Paid,128000,5000.0,2024-07-27 00:00:00
PAY-5034,ORD-10044,E-Wallet,Paid,298000,0.0,2024-07-27 05:02:00
PAY-5014,ORD-10048,Virtual Account,Paid,34000,2500.0,2024-07-27 15:33:00
PAY-5032,ORD-10078,Virtual Account,Pending,45000,0.0,2024-08-06 00:00:00
