product_id,gudang,stok_tersedia,last_update
P001,Gudang Bandung,40,2024-06-15 00:00:00
P001,Gudang Medan,80,2024-07-01 00:00:00
P001,Gudang Makassar,0,2024-07-12 11:51:00
P002,Gudang Jakarta,10,2024-07-16 06:30:00
P002,Gudang Bandung,80,2024-06-26 00:00:00
P002,Gudang Medan,10,2024-06-11 00:00:00
P003,Gudang Jakarta,0,2024-07-10 00:00:00
P003,Gudang Medan,80,2024-07-06 00:00:00
P003,Gudang Makassar,0,2024-12-07 00:00:00
P004,Gudang Jakarta,25,2024-06-13 06:01:00
P004,Gudang Surabaya,60,2024-07-08 00:00:00
P004,Gudang Bandung,0,2024-06-09 01:58:00
P004,Gudang Medan,0,2024-07-03 04:34:00
P004,Gudang Makassar,0,2024-06-29 00:00:00
P005,Gudang Bandung,10,2024-06-21 00:00:00
P005,Gudang Medan,0,2024-06-07 17:03:00
P005,Gudang Makassar,60,2024-07-06 00:00:00
P006,Gudang Jakarta,0,2024-05-06 00:00:00
P006,Gudang Surabaya,0,2024-07-15 00:00:00
P006,Gudang Bandung,0,2024-07-03 07:44:00
P006,Gudang Medan,60,2024-06-29 00:00:00
P006,Gudang Makassar,10,2024-06-29 10:04:00
P007,Gudang Jakarta,100,2024-06-14 00:00:00
P007,Gudang Surabaya,10,2024-07-16 00:00:00
P007,Gudang Bandung,80,2024-06-17 00:00:00
P008,Gudang Jakarta,10,2024-07-02 05:42:00
P008,Gudang Bandung,100,2024-06-22 13:12:00
P008,Gudang Medan,10,2024-06-02 00:00:00
P008,Gudang Makassar,0,2024-07-16 00:24:00
P009,Gudang Jakarta,60,2024-08-06 00:00:00
P009,Gudang Makassar,60,2024-06-03 00:00:00
P010,Gudang Surabaya,25,2024-07-14 08:25:00
P010,Gudang Bandung,0,2024-07-15 10:05:00
P010,Gudang Medan,25,2024-06-05 08:01:00
P010,Gudang Makassar,60,2024-09-07 00:00:00
P005,Gudang Surabaya,15,2024-06-10 00:00:00
