order_id,promo_code
ORD-10004,KAHFBARU
ORD-10049,GRATISONGKIR
ORD-10011,KAHFBARU
ORD-10126,GAJIAN50
ORD-10092,parfumkahf
ORD-10042,gajian50
ORD-10120,KAHFBARU
ORD-10045,WEEKEND15
ORD-10082,GRATISONGKIR
ORD-10109,RAMADHAN
ORD-10093,VIP20
ORD-10005,facecare10
ORD-10124, FACECARE10 
ORD-10035,CUCI GUDANG
ORD-10079,gajian50
ORD-10032,VIP20
ORD-10122, GRATISONGKIR 
ORD-10107,RAMADHAN
ORD-10083,GRATISONGKIR
ORD-10003,VIP20
ORD-10087,PARFUMKAHF
ORD-10038,GRATISONGKIR
ORD-10015, GAJIAN50 
ORD-10044,vip20
ORD-10062,GAJIAN50
ORD-10068, WEEKEND15 
ORD-10089,CUCI GUDANG
ORD-10050,WEEKEND15
ORD-10099,EXPIRED2023
