payment_id,order_id,metode_pembayaran,status_pembayaran,jumlah_bayar,biaya_admin,tanggal_bayar
PAY-5001,ORD-10074,virtual account,refunded,42000,0,2024-07-23 00:13:00
PAY-5002,ORD-10123,E-Wallet,Pending,45000,,2024-07-02 09:08:00
PAY-5003,ORD-10043,cod,Paid,25000,0,17/05/2024
PAY-5004,ORD-10103,bank transfer,Paid,38000,,2024-06-02 04:08:00
PAY-5005,ORD-10072,CREDIT_CARD,paid,34000,0,2024-06-27
PAY-5006,ORD-10110,credit card,Pending,42000,0,"Jul 08, 2024"
PAY-5007,ORD-10117,e-wallet,failed,149000,0,2024-05-24 06:45:00
PAY-5008,ORD-10004,virtual account,Paid,149000,2500,2024-05-02 14:55:00
PAY-5009,ORD-10075,credit card,failed,34000,5000,"Jun 02, 2024"
PAY-5010,ORD-10021,virtual account,paid,34000,0,2024-06-07 18:06:00
PAY-5011,ORD-10047,cod,Paid,,6500,"Jul 06, 2024"
PAY-5012,ORD-10039,bank transfer,refunded,126000,0,"Jul 18, 2024"
PAY-5013,ORD-10037,Bank Transfer,pending,,,14/05/2024
PAY-5014,ORD-10048,Virtual Account,paid,65000,2500,2024-07-27 15:33:00
PAY-5015,ORD-10041,cod,failed,32000,0,2024-05-07 01:15:00
PAY-5016,ORD-10038,bank transfer,refunded,58000,,2024-05-31 12:20:00
PAY-5017,ORD-10007,COD,PAID,32000,0,2024-05-23 11:45:00
PAY-5018,ORD-10046,QRIS,PAID,149000,6500,2024-06-01 15:24:00
PAY-5019,ORD-10024,bank transfer,Paid,126000,2500,"May 21, 2024"
PAY-5020,ORD-10087,Bank Transfer,pending,34000,0,23/05/2024
PAY-5021,ORD-10083,cod,pending,58000,,2024-05-14
PAY-5022,ORD-10102,virtual account,failed,45000,0,2024-07-14
PAY-5023,ORD-10063,bank transfer,paid,45000,5000,2024-07-27
PAY-5024,ORD-10053,Bank Transfer,Paid,58000,0,2024-06-20 12:27:00
PAY-5025,ORD-10081,COD,Paid,34000,6500,2024-05-13
PAY-5026,ORD-10014,Bank Transfer,paid,45000,0,04/07/2024
PAY-5027,ORD-10088,e-wallet,Paid,65000,0,2024-05-01
PAY-5028,ORD-10079,credit card,pending,45000,6500,2024-05-22
PAY-5029,ORD-10002,QRIS,Pending,58000,2500,2024-06-09
PAY-5030,ORD-10028,e-wallet,failed,38000,0,2024-07-14 00:42:00
PAY-5031,ORD-10127,QRIS,paid,38000,0,2024-07-03 15:43:00
PAY-5032,ORD-10078,Virtual Account,pending,34000,0,08/06/2024
PAY-5033,ORD-10107,credit card,refunded,,5000,"Jun 16, 2024"
PAY-5034,ORD-10044,E-Wallet,paid,149000,0,2024-07-27 05:02:00
PAY-5035,ORD-10099,credit card,PAID,126000,0,2024-05-26
PAY-5036,ORD-10124,virtual account,Paid,45000,5000,04/07/2024
PAY-5037,ORD-10006,virtual account,pending,34000,0,2024-06-17 15:10:00
PAY-5038,ORD-10100,COD,Pending,,0,2024-05-08
PAY-5039,ORD-10111,Virtual Account,Pending,149000,2500,2024-06-09 06:29:00
PAY-5040,ORD-10113,virtual account,Pending,45000,0,03/06/2024
PAY-5041,ORD-10032,e-wallet,refunded,34000,,2024-05-27
PAY-5042,ORD-10034,cod,Paid,65000,6500,2024-05-11
PAY-5043,ORD-10119,e-wallet,Paid,126000,6500,2024-07-13
PAY-5044,ORD-10016,Credit Card,failed,25000,5000,2024-05-14
PAY-5045,ORD-10045,cod,Paid,126000,0,2024-05-21
PAY-5046,ORD-10092,Virtual Account,failed,65000,5000,2024-07-23
PAY-5047,ORD-10030,bank transfer,PAID,58000,0,"Jul 01, 2024"
PAY-5048,ORD-10126,Credit Card,Paid,38000,0,2024-06-13 09:47:00
PAY-5049,ORD-10019,CREDIT_CARD,refunded,34000,0,20/06/2024
PAY-5050,ORD-10033,Credit Card,Pending,149000,0,2024-06-28
PAY-5051,ORD-10106,COD,PAID,126000,,26/07/2024
PAY-5052,ORD-10084,Credit Card,pending,34000,0,"Jun 29, 2024"
PAY-5053,ORD-10065,e-wallet,Paid,149000,2500,02/06/2024
PAY-5054,ORD-10040,E-Wallet,refunded,65000,5000,"Jul 16, 2024"
PAY-5055,ORD-10076,credit card,refunded,34000,0,03/06/2024
PAY-5056,ORD-10025,Virtual Account,Paid,38000,5000,2024-07-03 06:02:00
PAY-5057,ORD-10049,Virtual Account,pending,126000,0,2024-05-25
PAY-5058,ORD-10042,bank transfer,paid,58000,0,17/07/2024
PAY-5059,ORD-10015,virtual account,PAID,65000,0,"Jul 08, 2024"
PAY-5060,ORD-10129,e-wallet,refunded,,5000,2024-06-14 14:40:00
PAY-9999,ORD-10034,cod,Paid,65000,6500,2024-05-11
PAY-9998,ORD-88888,QRIS,paid,38000,0,2024-06-20
