product_id,product_name,kategori,harga_satuan
P001,Kahf Oil & Acne Care Facial Wash,Face Care,32000
P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,34000
P003,Kahf Hydro Balance Moisturizer,Face Care,45000
P004,Kahf Acne Spot Solution Serum,Face Care,58000
P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,65000
P006,Kahf Hair & Body Wash,Body Care,38000
P007,Kahf Deodorant Roll On,Body Care,25000
P008,Kahf Hair Tonic,Hair Care,42000
P009,Kahf EDT Revered Oud,Fragrance,149000
P010,Kahf EDT Humbling Forest,Fragrance,149000
