return_id,order_id,alasan_return,status_return,quantity_return,refund_amount,tanggal_return
RET-2001,ORD-10070,Produk tidak cocok di kulit,pending,1,34000,2024-06-07
RET-2002,ORD-10057,PRODUK TIDAK COCOK,PENDING,1,149000,27/07/2024
RET-2003,ORD-10045,iritasi ringan,PENDING,3,45000,"May 13, 2024"
RET-2004,ORD-10096,duplikat pesanan,approved,3,,2024-05-27
RET-2005,ORD-10019,Salah varian,PENDING,2,65000,2024-07-14
RET-2006,ORD-10125,Alergi kandungan produk,rejected,1,38000,"May 11, 2024"
RET-2007,ORD-10101,Berubah pikiran,PENDING,2,65000,"Jun 06, 2024"
RET-2008,ORD-10094,iritasi ringan,approved,3,45000,2024-05-20
RET-2009,ORD-10130,tidak sesuai deskripsi,approved,,,"Jul 11, 2024"
RET-2010,ORD-10123,Alergi kandungan produk,rejected,,65000,2024-07-14
RET-2011,ORD-10003,iritasi ringan,Rejected,1,65000,"Jul 29, 2024"
RET-2012,ORD-10030,iritasi ringan,approved,,0,2024-07-27
RET-2013,ORD-10114,Berubah pikiran,processed,2,45000,2024-05-03
RET-2014,ORD-10124,Alergi kandungan produk,pending,3,-25000,2024-05-28
RET-2015,ORD-10120,PRODUK TIDAK COCOK,processed,1,65000,11/05/2024
RET-2016,ORD-10053,Rusak saat pengiriman,Approved,3,34000,"Jun 25, 2024"
RET-2017,ORD-10012,Berubah pikiran,processed,2,58000,30/05/2024
RET-2018,ORD-10085,iritasi ringan,pending,1,38000,2024-05-02
RET-2019,ORD-10065,,pending,1,34000,"Jun 23, 2024"
RET-2020,ORD-10038,Alergi kandungan produk,PENDING,3,34000,"Jul 28, 2024"
RET-2021,ORD-10079,,processed,,65000,"Jul 27, 2024"
RET-2022,ORD-10023,tidak sesuai deskripsi,Approved,2,65000,2024-07-21
RET-2023,ORD-10066,Produk tidak cocok di kulit,pending,1,65000,21/05/2024
RET-2024,ORD-10087,Alergi kandungan produk,PENDING,1,-45000,"May 20, 2024"
RET-2025,ORD-10117,iritasi ringan,rejected,3,,"May 27, 2024"
RET-2026,ORD-10086,tidak sesuai deskripsi,pending,,45000,2024-07-17
RET-2027,ORD-10031,Rusak saat pengiriman,approved,1,65000,2024-07-01
RET-2028,ORD-10074,Berubah pikiran,approved,1,-32000,2024-06-03
RET-2029,ORD-10103,duplikat pesanan,pending,3,,2024-07-07
RET-2030,ORD-10042,PRODUK TIDAK COCOK,processed,3,149000,"Jun 08, 2024"
RET-2031,ORD-10089,iritasi ringan,processed,1,34000,15/06/2024
RET-2032,ORD-10008,Lainnya,PENDING,3,38000,18/07/2024
RET-2033,ORD-10067,Kemasan bocor,Rejected,2,38000,"May 26, 2024"
RET-2034,ORD-10024,Rusak saat pengiriman,rejected,,,2024-05-04
RET-2035,ORD-10025,Rusak saat pengiriman,rejected,1,45000,"Jun 27, 2024"
RET-2006,ORD-10125,Alergi kandungan produk,rejected,1,38000,"May 11, 2024"
RET-9999,ORD-99999,Kemasan bocor,pending,1,38000,2024-06-15
