payment_id,order_id,metode_pembayaran,status_pembayaran,jumlah_bayar,biaya_admin,tanggal_bayar
PAY-5001,ORD-10074,Virtual Account,Refunded,42000,0,2024-07-23
PAY-5002,ORD-10123,E-Wallet,Pending,45000,0,2024-02-07
PAY-5003,ORD-10043,Cod,Paid,25000,0,2024-05-17
PAY-5004,ORD-10103,Bank Transfer,Paid,38000,0,2024-02-06
PAY-5005,ORD-10072,Credit Card,Paid,34000,0,2024-06-27
PAY-5006,ORD-10110,Credit Card,Pending,42000,0,2024-07-08
PAY-5007,ORD-10117,E-Wallet,Failed,149000,0,2024-05-24
PAY-5008,ORD-10004,Virtual Account,Paid,149000,2500,2024-02-05
PAY-5009,ORD-10075,Credit Card,Failed,34000,5000,2024-06-02
PAY-5010,ORD-10021,Virtual Account,Paid,34000,0,2024-07-06
PAY-5012,ORD-10039,Bank Transfer,Refunded,126000,0,2024-07-18
PAY-5014,ORD-10048,Virtual Account,Paid,65000,2500,2024-07-27
PAY-5015,ORD-10041,Cod,Failed,32000,0,2024-07-05
PAY-5016,ORD-10038,Bank Transfer,Refunded,58000,0,2024-05-31
PAY-5017,ORD-10007,Cod,Paid,32000,0,2024-05-23
PAY-5018,ORD-10046,Qris,Paid,149000,6500,2024-01-06
PAY-5019,ORD-10024,Bank Transfer,Paid,126000,2500,2024-05-21
PAY-5020,ORD-10087,Bank Transfer,Pending,34000,0,2024-05-23
PAY-5021,ORD-10083,Cod,Pending,58000,0,2024-05-14
PAY-5022,ORD-10102,Virtual Account,Failed,45000,0,2024-07-14
PAY-5023,ORD-10063,Bank Transfer,Paid,45000,5000,2024-07-27
PAY-5024,ORD-10053,Bank Transfer,Paid,58000,0,2024-06-20
PAY-5025,ORD-10081,Cod,Paid,34000,6500,2024-05-13
PAY-5026,ORD-10014,Bank Transfer,Paid,45000,0,2024-07-04
PAY-5027,ORD-10088,E-Wallet,Paid,65000,0,2024-01-05
PAY-5028,ORD-10079,Credit Card,Pending,45000,6500,2024-05-22
PAY-5029,ORD-10002,Qris,Pending,58000,2500,2024-09-06
PAY-5030,ORD-10028,E-Wallet,Failed,38000,0,2024-07-14
PAY-5031,ORD-10127,Qris,Paid,38000,0,2024-03-07
PAY-5032,ORD-10078,Virtual Account,Pending,34000,0,2024-06-08
PAY-5034,ORD-10044,E-Wallet,Paid,149000,0,2024-07-27
PAY-5035,ORD-10099,Credit Card,Paid,126000,0,2024-05-26
PAY-5036,ORD-10124,Virtual Account,Paid,45000,5000,2024-07-04
PAY-5037,ORD-10006,Virtual Account,Pending,34000,0,2024-06-17
PAY-5039,ORD-10111,Virtual Account,Pending,149000,2500,2024-09-06
PAY-5040,ORD-10113,Virtual Account,Pending,45000,0,2024-06-03
PAY-5041,ORD-10032,E-Wallet,Refunded,34000,0,2024-05-27
PAY-5042,ORD-10034,Cod,Paid,65000,6500,2024-11-05
PAY-5043,ORD-10119,E-Wallet,Paid,126000,6500,2024-07-13
PAY-5044,ORD-10016,Credit Card,Failed,25000,5000,2024-05-14
PAY-5045,ORD-10045,Cod,Paid,126000,0,2024-05-21
PAY-5046,ORD-10092,Virtual Account,Failed,65000,5000,2024-07-23
PAY-5047,ORD-10030,Bank Transfer,Paid,58000,0,2024-07-01
PAY-5048,ORD-10126,Credit Card,Paid,38000,0,2024-06-13
PAY-5049,ORD-10019,Credit Card,Refunded,34000,0,2024-06-20
PAY-5050,ORD-10033,Credit Card,Pending,149000,0,2024-06-28
PAY-5051,ORD-10106,Cod,Paid,126000,0,2024-07-26
PAY-5052,ORD-10084,Credit Card,Pending,34000,0,2024-06-29
PAY-5053,ORD-10065,E-Wallet,Paid,149000,2500,2024-06-02
PAY-5054,ORD-10040,E-Wallet,Refunded,65000,5000,2024-07-16
PAY-5055,ORD-10076,Credit Card,Refunded,34000,0,2024-06-03
PAY-5056,ORD-10025,Virtual Account,Paid,38000,5000,2024-03-07
PAY-5057,ORD-10049,Virtual Account,Pending,126000,0,2024-05-25
PAY-5058,ORD-10042,Bank Transfer,Paid,58000,0,2024-07-17
PAY-5059,ORD-10015,Virtual Account,Paid,65000,0,2024-07-08
PAY-9999,ORD-10034,Cod,Paid,65000,6500,2024-11-05
PAY-9998,ORD-88888,Qris,Paid,38000,0,2024-06-20
